,title,time
261,香港特区政府计划在新一年度卖地21幅(462),2020-02-27
262,绿地香港注资9.5亿元获雅居乐昆明项目公司50%股权(1361),2020-02-24
263,香港置地联合体310.5亿竞得徐汇滨江地块刷新国内土地总价纪录(...,2020-02-20
264,高力国际预计香港房地产市场2020年上半年急剧转淡(296),2020-02-20
265,香港置地联合体上海拿地业内称提振市场(1886),2020-02-20
266,"香港置地310.5亿拿下上海徐汇滨江地块刷新纪录成中国内地""新地...",2020-02-20
267,内地总价新地王诞生-香港置地310.5亿上海夺地(1552),2020-02-20
268,怡和财团的上海野心-香港置地310亿创纪录拿下徐汇地块(1897),2020-02-20
269,前所未有香港海港城为商户减免一半租金(1383),2020-02-13
270,香港雅生活抽高2%九连升-瑞银料很大机会获纳入港股通(463),2020-02-13
271,2020年2月11日香港港股地产建筑板块盘中走强(95),2020-02-11
272,香港恒隆地产成立抗疫基金并向租户减租(461),2020-02-05
273,2019年9月4日香港港股市场乐观情绪明显升温(324),2020-02-03
274,香港当代置业2019年1-8月销售220亿同比涨超11%(258),2020-02-03
275,香港港股2019年9月5日中午收市上升101点有望突破27200...,2020-02-03
276,香港世茂房地产折让7.85%配股筹资46亿港元(499),2020-01-20
277,2019年香港山顶南区二手豪宅成交额跌3成(554),2020-01-16
278,香港世茂和福晟战略合作(893),2020-01-14
279,香港世茂与福晟设立合作平台旧改体量或达四千亿(416),2020-01-13
280,丽新发展料香港2020年上半年楼价可企稳(470),2019-12-23
281,中原地产预计香港2019年整体豪宅买卖将创三年新低(517),2019-12-16
282,香港首个青年宿舍开始网申最快2020年3月入住(676),2019-12-16
283,保利物业香港分拆2019年12月9日起招股最多集资46.8亿港元...,2019-12-09
284,绿地香港上涨5%斥13亿元收购江苏省地皮(376),2019-12-09
285,绿地香港上涨5%斥13亿元收购江苏省地皮(376),2019-12-09
286,"""地产二代""携香港景业名邦上市助力家族步入亿万富豪队列(1110)",2019-12-05
287,香港佳源国际2019年1-11月销售254亿完成年度目标九成(314),2019-12-04
288,香港中环控股在港交所举行开市仪式发展进入新阶段(971),2019-12-04
289,香港中环控股在港交所举行开市仪式发展进入新阶段(971),2019-12-04
290,香港特区政府未来10年将提供超过24万套公营房屋(769),2019-12-03
291,香港新鸿基地产422亿港币投得西九龙站上盖商用地块(1710),2019-12-02
292,香港关爱基金续推综援户租金津贴(252),2019-11-29
293,绿地香港以不低于28亿出售子公司已完成股权交割(615),2019-11-28
294,新世界发展与星展香港签署10亿港元贷款为期5年(936),2019-11-26
295,12亿元买入9亿元出售海南海航甩卖瑞信大楼彻底清空英国地产项目_...,2019-11-26
296,2019年10月香港写字楼租金环比跌1.6%(339),2019-11-22
297,深圳佳兆业收购佳兆业金融91%股权总代价1.22亿港元(611),2019-11-15
298,香港华润置地租金收入突破百亿大关继万达后第二家(1585),2019-11-15
299,万科香港拟发行2笔美元票据合计规模7.23亿元(188),2019-11-13
300,2019年11月12日香港港股走势仍然偏弱料下试26000点(1...,2019-11-13
301,结束四连跌香港2019年10月住宅成交额环比升近五成(293),2019-11-05
302,广州首批347套共有产权房正式对外供应港澳青年首次可申领(568),2019-11-02
303,广州首批共有产权房对外供应港澳青年首次可申领(568),2019-11-02
304,香港华润置地完成先旧后新配股融资募资67.2亿港元(315),2019-11-01
305,"恒大在香港首个住宅项目开盘遭疯抢开盘即""售罄""(422)",2019-10-28
306,粤港澳大湾区在广东佛山举行大数据应用大赛(200),2019-10-25
307,香港未来4年一手私楼潜在供应量维持9.3万伙(498),2019-10-25
